,address,target_building_id,target_address
4103,"Коломяжский, д.12",49407,"г.Санкт-Петербург, Коломяжский проспект, дом 12, литера А"
1733,"Пограничника Гарькавого, д.35",51303,"г.Санкт-Петербург, улица Пограничника Гарькавого, дом 35, корпус 1, литера А"
1027,"Ириновский, д.29",22898,"г.Санкт-Петербург, Ириновский проспект, дом 29, корпус 1, литера А"
3797,"Ольховая, д.12",65723,"г.Санкт-Петербург, Ольховая улица, дом 12, литера А"
4422,"2-я Никитинская, д.57",60639,"г.Санкт-Петербург, 2-я Никитинская улица, дом 57, литера А"
386,"Науки, д.10",29245,"г.Санкт-Петербург, проспект Науки, дом 10, корпус 1, литера А"
2952,"Ольминского, д.22",42712,"г.Санкт-Петербург, улица Ольминского, дом 22, литера А"
5700,"Асафьева, д.6",85932,"г.Санкт-Петербург, улица Асафьева, дом 6, корпус 1, литера А"
1486,"Политрука Пасечника (Торики), д.2",24952,"г.Санкт-Петербург, Торики, улица Политрука Пасечника, дом 2, литера А"
5419,"Тазаева, д.26",20955,"Санкт-Петербург, город Колпино, улица Тазаева, дом 26, литера А"
5447,"Полевая, д.5",86894,"г.Санкт-Петербург, Лахта, Полевая улица, дом 5, литера А"
6986,"Огородная, д.3",124215,"Санкт-Петербург, город Пушкин, Огородная улица, дом 3, литера А"
3013,"Пятилеток, д.17",81416,"г.Санкт-Петербург, проспект Пятилеток, дом 17, корпус 1, литера А"
5146,"Павловская, д.17/16",7106,"Санкт-Петербург, город Колпино, Павловская улица, дом 17, литера А"
3059,"3-й Рабфаковский, д.8",101180,"г.Санкт-Петербург, 3-й Рабфаковский переулок, дом 8, литера У"
2187,"Гражданская, д.9",198616,"г.Санкт-Петербург, Гражданская улица, дом 9, литера А"
4975,"Тазаева, д.7",23542,"Санкт-Петербург, город Колпино, улица Тазаева, дом 7, литера А"
6776,"Народного Ополчения, д.29",70709,"г.Санкт-Петербург, проспект Народного Ополчения, дом 29, литера А"
4049,"Щербакова, д.6",39682,"г.Санкт-Петербург, улица Щербакова, дом 6, литера А"
4332,"Богатырский, д.36",68597,"г.Санкт-Петербург, Богатырский проспект, дом 36, корпус 1, литера А"
4228,"Камышовая, д.48",43505,"г.Санкт-Петербург, Камышовая улица, дом 48, корпус 1, литера А"
4801,"Трудящихся, д.17",82864,"Санкт-Петербург, город Колпино, бульвар Трудящихся, дом 17, литера А"
5810,"Кустодиева, д.2",54159,"г.Санкт-Петербург, улица Кустодиева, дом 2, литера А"
4090,"Старобельская, д.4",198939,"г.Санкт-Петербург, Старобельская улица, дом 4, литера А"
365,"Лужская, д.10",54561,"г.Санкт-Петербург, Лужская улица, дом 10, корпус 1, литера А"
2150,"Аммермана, д.26",99707,"Санкт-Петербург, город Кронштадт, улица Аммермана, дом 26, литера А"
4865,"Октябрьская, д.3",7822,"Санкт-Петербург, город Ломоносов, Октябрьская улица, дом 3, литера А"
1650,"Народного Ополчения, д.243",51163,"г.Санкт-Петербург, проспект Народного Ополчения, дом 243, корпус 1, литера А"
2129,"Ленинский, д.32",,
2985,"Подвойского, д.34",111523,"г.Санкт-Петербург, улица Подвойского, дом 34, корпус 1, литера А"
3482,"Торжковская, д.3",99493,"г.Санкт-Петербург, Торжковская улица, дом 3, литера А"
820,"Непокорённых, д.4",107838,"г.Санкт-Петербург, проспект Непокорённых, дом 4, литера А"
2908,"Латышских Стрелков, д.11",63151,"г.Санкт-Петербург, улица Латышских Стрелков, дом 11, корпус 1, литера А"
1721,"Политрука Пасечника (Торики), д.9",28471,"г.Санкт-Петербург, Торики, улица Политрука Пасечника, дом 9, литера А"
5571,"Взлётная, д.11",98546,"г.Санкт-Петербург, Взлётная улица, дом 11, литера А"
5852,"Придорожная, д.17",41327,"г.Санкт-Петербург, Придорожная аллея, дом 17, литера А"
2946,"Обуховской Обороны, д.89",47232,"г.Санкт-Петербург, проспект Обуховской Обороны, дом 89, литера А"
6283,"Суздальский, д.65",1343,"г.Санкт-Петербург, Суздальский проспект, дом 65, литера А"
3881,"Савушкина, д.12",11789,"г.Санкт-Петербург, улица Савушкина, дом 12, литера А"
1158,"Помяловского, д.5",31811,"г.Санкт-Петербург, улица Помяловского, дом 5, литера А"
1136,"Осипенко, д.5",100228,"г.Санкт-Петербург, улица Осипенко, дом 5, корпус 1, литера А"
6021,"Художников, д.23",23244,"г.Санкт-Петербург, проспект Художников, дом 23, корпус 1, литера А"
3,"Вавиловых, д.10",45187,"г.Санкт-Петербург, улица Вавиловых, дом 10, корпус 1, литера А"
3519,"Авиаконструкторов, д.31",19077,"г.Санкт-Петербург, проспект Авиаконструкторов, дом 31, корпус 1, литера А"
480,"Софьи Ковалевской, д.10",98415,"г.Санкт-Петербург, улица Софьи Ковалевской, дом 10, корпус 1, литера А"
5052,"Комсомольского канала, д.20/2",64275,"Санкт-Петербург, город Колпино, набережная Комсомольского канала, дом 20/2, литера А"
1453,"Чекистов, д.13",65730,"г.Санкт-Петербург, улица Чекистов, дом 13, литера А"
1292,"Энтузиастов, д.49",72940,"г.Санкт-Петербург, проспект Энтузиастов, дом 49, корпус 1, литера А"
684,"Киришская, д.5",8279,"г.Санкт-Петербург, Киришская улица, дом 5, литера А"
5672,"Пархоменко, д.5",36144,"г.Санкт-Петербург, проспект Пархоменко, дом 5, литера А"
4458,"Омская, д.24",16705,"г.Санкт-Петербург, Омская улица, дом 24, литера А"
2948,"Реки Оккервиль, д.8",4629,"г.Санкт-Петербург, набережная реки Оккервиль, дом 8, литера А"
1542,"Авангардная, д.9",58724,"г.Санкт-Петербург, Авангардная улица, дом 9, литера А"
5452,"Братьев Радченко, д.19",39409,"Санкт-Петербург, город Колпино, улица Братьев Радченко, дом 19, литера А"
4595,"Приморский, д.23",65663,"г.Санкт-Петербург, Приморский проспект, дом 23, литера А"
2742,"Ворошилова, д.11",16223,"Санкт-Петербург, муниципальный округ Правобережный, улица Ворошилова, дом 11, литера А"
1820,"Красногородская, д.13",107427,"Санкт-Петербург, город Красное Село, Красногородская улица, дом 13, корпус 1, литера А"
1088,"Металлистов, д.23",55489,"г.Санкт-Петербург, проспект Металлистов, дом 23, корпус 1, литера А"
6773,"Народного Ополчения, д.23",105920,"г.Санкт-Петербург, проспект Народного Ополчения, дом 23, литера А"
1570,"Добровольцев, д.62",53774,"г.Санкт-Петербург, улица Добровольцев, дом 62, литера А"
2535,"Гранитная, д.46",91570,"г.Санкт-Петербург, Гранитная улица, дом 46, корпус 1, литера А"
6767,"Трамвайный, д.27",6397,"г.Санкт-Петербург, Трамвайный проспект, дом 27, корпус 1, литера А"
1866,"Театральная, д.3",188219,"г.Санкт-Петербург, Театральная аллея, дом 3, литера А"
1111,"Наставников, д.17",1657,"г.Санкт-Петербург, проспект Наставников, дом 17, корпус 1, литера А"
2649,"Александровской Фермы, д.9",2929,"г.Санкт-Петербург, проспект Александровской Фермы, дом 9, литера Д"
2511,"Новочеркасский, д.9",5353,"г.Санкт-Петербург, Новочеркасский проспект, дом 9, литера А"
4251,"Королёва, д.7",124653,"г.Санкт-Петербург, проспект Королёва, дом 7, литера А"
880,"Гжатская, д.9",56607,"г.Санкт-Петербург, Гжатская улица, дом 9, литера А"
5932,"Светлановский, д.119",87314,"г.Санкт-Петербург, Светлановский проспект, дом 119, литера А"
6898,"Железнодорожная, д.40",124210,"Санкт-Петербург, город Пушкин, Железнодорожная улица, дом 40, литера А"
4261,"Туристская, д.30",130967,"г.Санкт-Петербург, Туристская улица, дом 30, корпус 1, литера А"
242,"Гражданский, д.113",24439,"г.Санкт-Петербург, Гражданский проспект, дом 113, корпус 1, литера А"
2829,"Искровский, д.23",12952,"г.Санкт-Петербург, Искровский проспект, дом 23, корпус 1, литера А"
4400,"Савушкина, д.131",45889,"г.Санкт-Петербург, улица Савушкина, дом 131, литера А"
1464,"Коммунаров (Горелово), д.124",55373,"Санкт-Петербург, муниципальный округ Горелово, территория Горелово, улица Коммунаров, дом 124, литера А"
4662,"Королёва, д.26",100328,"г.Санкт-Петербург, проспект Королёва, дом 26, корпус 1, литера А"
730,"Науки, д.9",110622,"г.Санкт-Петербург, проспект Науки, дом 9, литера А"
4741,"Софийская, д.21",52566,"г.Санкт-Петербург, Софийская улица, дом 21, корпус 1, литера А"
5227,"Тверская, д.8",71417,"г.Санкт-Петербург, Тверская улица, дом 8, литера А"
120,"Тихорецкий, д.27",55240,"г.Санкт-Петербург, Тихорецкий проспект, дом 27, литера А"
3951,"Сизова, д.20",97048,"г.Санкт-Петербург, проспект Сизова, дом 20, корпус 1, литера А"
1938,"Адмирала Трибуца, д.10",208688,"г.Санкт-Петербург, улица Адмирала Трибуца, дом 10, литера А"
2621,"Шаумяна, д.46",110775,"г.Санкт-Петербург, проспект Шаумяна, дом 46, литера А"
5902,"Просвещения, д.9",130587,"г.Санкт-Петербург, проспект Просвещения, дом 9, литера А"
2224,"Красная, д.11",79614,"Санкт-Петербург, город Кронштадт, Красная улица, дом 11, литера А"
623,"Гжатская, д.5",95074,"г.Санкт-Петербург, Гжатская улица, дом 5, литера А"
976,"Белорусская, д.12",11987,"г.Санкт-Петербург, Белорусская улица, дом 12, корпус 1, литера А"
1511,"Ветеранов, д.151",30629,"г.Санкт-Петербург, проспект Ветеранов, дом 151, корпус 1, литера А"
5807,"Кустодиева, д.12",28615,"г.Санкт-Петербург, улица Кустодиева, дом 12, литера А"
4079,"Гаккелевская, д.30",22469,"г.Санкт-Петербург, Гаккелевская улица, дом 30, литера А"
1561,"Добровольцев, д.48",15107,"г.Санкт-Петербург, улица Добровольцев, дом 48, литера А"
3707,"Котельникова, д.3",94924,"г.Санкт-Петербург, аллея Котельникова, дом 3, литера А"
1311,"Осипенко, д.10",4485,"г.Санкт-Петербург, улица Осипенко, дом 10, корпус 1, литера А"
3164,"Фарфоровская, д.22",6716,"г.Санкт-Петербург, Фарфоровская улица, дом 22, литера Ш"
6532,"Поэтический, д.21/10",77184,"г.Санкт-Петербург, Поэтический бульвар, дом 21/10, литера А"
4570,"Приморский, д.54",51675,"г.Санкт-Петербург, Приморский проспект, дом 54, корпус 1, литера А"
2265,"Ленина, д.24",198905,"г.Санкт-Петербург, улица Ленина, дом 24, литера А"
38,"Институтский, д.29",80342,"г.Санкт-Петербург, Институтский проспект, дом 29, литера А"
6961,"Ленинградская, д.99",12139,"Санкт-Петербург, город Пушкин, Ленинградская улица, дом 99, литера А"
4449,"Ланское, д.25",25398,"г.Санкт-Петербург, Ланское шоссе, дом 25, литера А"
5939,"Светлановский, д.62",28098,"г.Санкт-Петербург, Светлановский проспект, дом 62, корпус 1, литера А"
3585,"Гаккелевская, д.18",39383,"г.Санкт-Петербург, Гаккелевская улица, дом 18, корпус 1, литера А"
1231,"Ударников, д.49",10908,"г.Санкт-Петербург, проспект Ударников, дом 49, корпус 1, литера А"
290,"Гражданский, д.4",89850,"г.Санкт-Петербург, Гражданский проспект, дом 4, корпус 1, литера А"
1560,"Добровольцев, д.46",71102,"г.Санкт-Петербург, улица Добровольцев, дом 46, литера А"
6110,"Брянцева, д.17",12961,"г.Санкт-Петербург, улица Брянцева, дом 17, литера А"
6309,"Тимуровская, д.6",68460,"г.Санкт-Петербург, Тимуровская улица, дом 6, корпус 1, литера А"
957,"Передовиков, д.9",58531,"г.Санкт-Петербург, улица Передовиков, дом 9, литера А"
1524,"Авангардная, д.18",107240,"г.Санкт-Петербург, Авангардная улица, дом 18, корпус 1, литера А"
7102,"Берёзовая, д.20",92425,"г.Санкт-Петербург, 1-я Берёзовая аллея, дом 20, литера А"
823,"2-й Муринский, д.47",41888,"г.Санкт-Петербург, 2-й Муринский проспект, дом 47, литера И"
4507,"Суздальское, д.22",221972,"г.Санкт-Петербург, Суздальское шоссе, дом 22, корпус 2, строение 1"
3763,"Мартыновская, д.2",15185,"г.Санкт-Петербург, Мартыновская улица, дом 2, литера А"
6340,"Ярославский, д.66",106080,"г.Санкт-Петербург, Ярославский проспект, дом 66, корпус 1, литера А"
4135,"Ситцевая, д.11",84383,"г.Санкт-Петербург, Ситцевая улица, дом 11, корпус 1, литера А"
3222,"Коллонтай, д.17",1423,"г.Санкт-Петербург, улица Коллонтай, дом 17, корпус 1, литера А"
4328,"Афанасьевская, д.6",75291,"г.Санкт-Петербург, Афанасьевская улица, дом 6, корпус 1, литера А"
1360,"Ириновский, д.34",208065,"г.Санкт-Петербург, Ириновский проспект, дом 34, литера А"
3597,"Глухарская, д.5",41088,"г.Санкт-Петербург, Глухарская улица, дом 5, корпус 1, литера А"
6638,"Фёдора Абрамова, д.20",205219,"Санкт-Петербург, посёлок Парголово, улица Фёдора Абрамова, дом 20, корпус 1, литера А"
5495,"Костюшко, д.13",99465,"г.Санкт-Петербург, улица Костюшко, дом 13, корпус 1, литера А"
1927,"2-я Комсомольская, д.42",204571,"г.Санкт-Петербург, 2-я Комсомольская улица, дом 42, литера А"
4409,"Савушкина, д.72",87834,"г.Санкт-Петербург, улица Савушкина, дом 72, литера А"
6949,"Жуковско-Волынская, д.1/18",15949,"Санкт-Петербург, город Пушкин, Жуковско-Волынская улица, дом 1"
3399,"Дальневосточный, д.33",215833,"г.Санкт-Петербург, Дальневосточный проспект, дом 33, корпус 1, строение 1"
172,"Вавиловых, д.17",92284,"г.Санкт-Петербург, улица Вавиловых, дом 17, корпус 1, литера А"
4442,"Авиаконструкторов, д.45",14897,"г.Санкт-Петербург, проспект Авиаконструкторов, дом 45, корпус 1, литера А"
5217,"Тверская, д.28",98804,"Санкт-Петербург, город Колпино, Тверская улица, дом 28, литера А"
1878,"Петергофское, д.57",94014,"г.Санкт-Петербург, Петергофское шоссе, дом 57, литера А"
6018,"Художников, д.20",75164,"г.Санкт-Петербург, проспект Художников, дом 20, корпус 1, литера А"
1418,"Индустриальный, д.13",41194,"г.Санкт-Петербург, Индустриальный проспект, дом 13, литера А"
3541,"Байконурская, д.15",38638,"г.Санкт-Петербург, Байконурская улица, дом 15, литера А"
4298,"Глухарская, д.11",105146,"г.Санкт-Петербург, Глухарская улица, дом 11, корпус 1, литера А"
3067,"Седова, д.105",19939,"г.Санкт-Петербург, улица Седова, дом 105, корпус 2, литера А"
5435,"Октябрьская, д.75",59806,"Санкт-Петербург, город Колпино, Октябрьская улица, дом 75, литера А"
1340,"2-я Жерновская, д.23",65526,"г.Санкт-Петербург, 2-я Жерновская улица, дом 23, литера А"
5960,"Северный, д.24",100772,"г.Санкт-Петербург, Северный проспект, дом 24, корпус 1, литера А"
5633,"Меньковская, д.2",,
565,"Черкасова, д.8",105499,"г.Санкт-Петербург, улица Черкасова, дом 8, корпус 1, литера А"
4748,"Бухарестская, д.17",32275,"г.Санкт-Петербург, Бухарестская улица, дом 17, литера А"
5464,"Пилотов, д.18",29931,"г.Санкт-Петербург, улица Пилотов, дом 18, корпус 1, литера А"
2743,"Ворошилова, д.5",2458,"Санкт-Петербург, муниципальный округ Правобережный, улица Ворошилова, дом 5, корпус 1, литера А"
5615,"Благодатная, д.57",126342,"г.Санкт-Петербург, Благодатная улица, дом 57, литера А"
3037,"2-й Рабфаковский, д.13",109992,"г.Санкт-Петербург, 2-й Рабфаковский переулок, дом 13, литера Н"
2379,"Посадская, д.23",29916,"г.Санкт-Петербург, Малая Посадская улица, дом 23, литера А"
1345,"6-я Жерновская, д.19",126255,"г.Санкт-Петербург, 6-я Жерновская улица, дом 19, литера А"
5241,"Тосненский, д.30",53980,"Санкт-Петербург, город Колпино, Тосненский переулок, дом 30, литера А"
4018,"Шишмарёвский, д.6/40",42641,"г.Санкт-Петербург, Шишмарёвский переулок, дом 6"
6136,"Демьяна Бедного, д.24",62933,"г.Санкт-Петербург, улица Демьяна Бедного, дом 24, корпус 1, литера А"
806,"Муринская, д.80",206584,"г.Санкт-Петербург, Муринская дорога, дом 80, корпус 1, литера А"
3361,"Коллонтай, д.2",212513,"г.Санкт-Петербург, улица Коллонтай, дом 2, строение 1"
35,"Шафировский, д.17",52746,"г.Санкт-Петербург, Шафировский проспект, дом 17, корпус 1, литера А"
6358,"Асафьева, д.5",40538,"г.Санкт-Петербург, улица Асафьева, дом 5, корпус 1, литера А"
4588,"Парашютная, д.44",216060,"г.Санкт-Петербург, Парашютная улица, дом 44, корпус 1, строение 1"
1807,"Партизана Германа, д.17",79467,"г.Санкт-Петербург, улица Партизана Германа, дом 17, литера А"
4008,"Шаврова, д.11",97778,"г.Санкт-Петербург, улица Шаврова, дом 11, литера А"
2060,"Современников, д.15",105530,"Санкт-Петербург, город Павловск, Звериницкая улица, дом 15, литера А"
3716,"Комендантский, д.19",22988,"г.Санкт-Петербург, Комендантский проспект, дом 19, корпус 2, литера А"
3471,"Приморский, д.33/2",197903,"г.Санкт-Петербург, Приморский проспект, дом 33, литера А"
324,"Карпинского, д.14",91936,"г.Санкт-Петербург, улица Карпинского, дом 14, литера А"
6652,"Николая Рубцова, д.9",198018,"Санкт-Петербург, посёлок Парголово, улица Николая Рубцова, дом 9, литера А"
5555,"Свеаборгская, д.25",73095,"г.Санкт-Петербург, Свеаборгская улица, дом 25, литера А"
4033,"Школьная, д.30",20108,"г.Санкт-Петербург, Школьная улица, дом 30, литера А"
2028,"Лётчика Пилютова, д.36",81456,"г.Санкт-Петербург, улица Лётчика Пилютова, дом 36, литера А"
741,"Светлановский, д.77",39024,"г.Санкт-Петербург, Светлановский проспект, дом 77, литера А"
2648,"Александровской Фермы, д.5",72435,"г.Санкт-Петербург, проспект Александровской Фермы, дом 5, литера В"
1067,"Ленская, д.11",42047,"г.Санкт-Петербург, Ленская улица, дом 11, корпус 1, литера А"
1154,"Петра Смородина, д.20",23254,"г.Санкт-Петербург, улица Петра Смородина, дом 20, литера А"
4021,"Школьная, д.112",64531,"г.Санкт-Петербург, Школьная улица, дом 112, литера А"
4720,"Новосибирская, д.13",40951,"г.Санкт-Петербург, Новосибирская улица, дом 13, литера А"
974,"Свердловская, д.62",24968,"г.Санкт-Петербург, Свердловская набережная, дом 62, литера А"
1936,"Коммунаров, д.188",208059,"Санкт-Петербург, муниципальный округ Горелово, территория Горелово, улица Коммунаров, дом 188, корпус 1"
4486,"Мебельная, д.19",205578,"г.Санкт-Петербург, Мебельная улица, дом 19, корпус 2, литера А"
1671,"Партизана Германа, д.32",197220,"г.Санкт-Петербург, улица Партизана Германа, дом 32, литера А"
5924,"Светлановский, д.107",72099,"г.Санкт-Петербург, Светлановский проспект, дом 107, литера А"
5004,"Братьев Радченко, д.12",58940,"Санкт-Петербург, город Колпино, улица Братьев Радченко, дом 12, литера А"
1707,"Пионерстроя, д.19",62585,"г.Санкт-Петербург, улица Пионерстроя, дом 19, литера А"
992,"Большеохтинский, д.29",99588,"г.Санкт-Петербург, Большеохтинский проспект, дом 29, литера А"
1506,"Ветеранов, д.146/22",66554,"г.Санкт-Петербург, проспект Ветеранов, дом 146"
740,"Светлановский, д.75",61143,"г.Санкт-Петербург, Светлановский проспект, дом 75, литера А"
3784,"Новосибирская, д.18/5",36698,"г.Санкт-Петербург, Новосибирская улица, дом 18"
737,"Руставели, д.14",30439,"г.Санкт-Петербург, улица Руставели, дом 14, литера А"
6941,"Колокольный, д.5",196251,"Санкт-Петербург, город Пушкин, Колокольный переулок, дом 5, литера А"
449,"Пискарёвский, д.56",91522,"г.Санкт-Петербург, Пискарёвский проспект, дом 56, корпус 1, литера А"
5662,"Крапивный, д.4",213276,"г.Санкт-Петербург, Крапивный переулок, дом 4, строение 1"
2045,"Хвойный, д.92 (108)",,
4927,"Ленина, д.72",106157,"Санкт-Петербург, город Колпино, проспект Ленина, дом 72, литера А"
972,"Пискарёвский, д.159",66277,"г.Санкт-Петербург, Пискарёвский проспект, дом 159, литера А"
4691,"Дибуновская, д.30",126064,"г.Санкт-Петербург, Дибуновская улица, дом 30, литера А"
5398,"Ижорского Батальона, д.23",94964,"Санкт-Петербург, город Колпино, улица Ижорского Батальона, дом 23, литера А"
5073,"Ленина, д.24/8",198905,"г.Санкт-Петербург, улица Ленина, дом 24, литера А"
6172,"Культуры, д.17",17789,"г.Санкт-Петербург, проспект Культуры, дом 17, литера А"
3077,"Седова, д.136",25720,"г.Санкт-Петербург, улица Седова, дом 136, литера К"
2259,"Ленина, д.12",27814,"Санкт-Петербург, город Колпино, проспект Ленина, дом 12, литера А"
3407,"Бабушкина, д.84",77306,"г.Санкт-Петербург, улица Бабушкина, дом 84, литера А"
985,"Большеохтинский, д.13/4",16801,"г.Санкт-Петербург, Большеохтинский проспект, дом 13, корпус 1"
2181,"Гражданская, д.11",88555,"г.Санкт-Петербург, Гражданская улица, дом 11, литера А"
5958,"Северный, д.16",37853,"г.Санкт-Петербург, Северный проспект, дом 16, корпус 1, литера А"
2673,"Бабушкина, д.11",85111,"г.Санкт-Петербург, улица Бабушкина, дом 11, литера А"
1933,"Красносельское, д.48",10975,"г.Санкт-Петербург, Сергиево, Красносельское шоссе, дом 48, литера А"
3421,"Архивная, д.9",215924,"Санкт-Петербург, муниципальный округ Невский округ, Архивная улица, дом 9, корпус 1, строение 1"
4848,"Тельмана, д.38",,
4961,"Пролетарская, д.50",58434,"Санкт-Петербург, город Колпино, Пролетарская улица, дом 50, литера А"
785,"Карпинского, д.18",107034,"г.Санкт-Петербург, улица Карпинского, дом 18, литера А"
4928,"Ленина, д.74",68186,"Санкт-Петербург, город Колпино, проспект Ленина, дом 74, литера А"
1553,"Добровольцев, д.22",20522,"г.Санкт-Петербург, улица Добровольцев, дом 22, корпус 1, литера А"
2890,"Красных Зорь, д.10",196158,"Санкт-Петербург, муниципальный округ Горелово, территория Старо-Паново, улица Красных Зорь, дом 10, литера А"
3305,"Союзный, д.8",198412,"г.Санкт-Петербург, Союзный проспект, дом 8, корпус 1, литера А"
212,"Верности, д.52",360,"г.Санкт-Петербург, улица Верности, дом 52, литера А"
1836,"Освобождения, д.23",126558,"Санкт-Петербург, город Красное Село, улица Освобождения, дом 23, корпус 1, литера А"
309,"Гражданский, д.9",97117,"г.Санкт-Петербург, Гражданский проспект, дом 9, корпус 1, литера А"
4597,"Савушкина, д.27",99065,"г.Санкт-Петербург, улица Савушкина, дом 27, корпус 1, литера А"
3770,"Маршала Новикова, д.17",40174,"г.Санкт-Петербург, улица Маршала Новикова, дом 17, литера А"
5248,"Тосненский, д.7",82087,"Санкт-Петербург, город Колпино, Тосненский переулок, дом 7, литера А"
5936,"Светлановский, д.58",5030,"г.Санкт-Петербург, Светлановский проспект, дом 58, корпус 1, литера А"
1978,"Авангардная, д.22",13942,"г.Санкт-Петербург, Авангардная улица, дом 22, корпус 1, литера А"
1774,"Тамбасова, д.36",11019,"г.Санкт-Петербург, улица Тамбасова, дом 36, корпус 1, литера А"
1532,"Авангардная, д.37",79752,"г.Санкт-Петербург, Авангардная улица, дом 37, литера А"
